id,value,feed_id,created_at,lat,lon,ele
0FPV8TKMJPKA6FCJAQNA26CC4T,528,2896360,2024-10-01 13:00:03 UTC,,,
0FPV8V5YHR393PG8QATBXRR94Z,544,2896360,2024-10-01 13:01:03 UTC,,,
0FPV8VR8JA63JPXAPBR8KY25R1,528,2896360,2024-10-01 13:02:03 UTC,,,
0FPV8WAJN3T9PD28F57C05SDN5,511,2896360,2024-10-01 13:03:03 UTC,,,
0FPV8WWWJKWBTF3PER3K1JRS63,534,2896360,2024-10-01 13:04:03 UTC,,,
0FPV8XF6K3D0Z2VBMPXVSR01SS,528,2896360,2024-10-01 13:05:03 UTC,,,
0FPV8Y1GK4B8DP31XNA5X1NRJB,529,2896360,2024-10-01 13:06:03 UTC,,,
0FPV8YKTKCQ1T6QKJ0P4Y7HMDW,526,2896360,2024-10-01 13:07:03 UTC,,,
0FPV8Z64MX3EDG8AKHQ17J4E74,527,2896360,2024-10-01 13:08:03 UTC,,,
0FPV8ZREJ36RXVCWWFS6S28T0T,524,2896360,2024-10-01 13:09:03 UTC,,,
0FPV90ARHR8DY1B0BEZKK3KC34,511,2896360,2024-10-01 13:10:03 UTC,,,
0FPV90X2GCH40FB72354B5190B,531,2896360,2024-10-01 13:11:03 UTC,,,
0FPV91FCGG4PZ4HX853S9Z6XXC,534,2896360,2024-10-01 13:12:03 UTC,,,
0FPV921PG4G52FZ591A1Z4CF84,532,2896360,2024-10-01 13:13:03 UTC,,,
0FPV92M0FQNG8AQ45Z06A4D9JD,525,2896360,2024-10-01 13:14:03 UTC,,,
0FPV936AGC66YAYFYH4CRZ2HQA,533,2896360,2024-10-01 13:15:03 UTC,,,
0FPV93RMFDDMZR1XY94SR0DHC9,528,2896360,2024-10-01 13:16:03 UTC,,,
0FPV94AYFEVMRTHWW6FDWGWYEP,528,2896360,2024-10-01 13:17:03 UTC,,,
0FPV94X8G56DKBZRJFRWFD9PNJ,526,2896360,2024-10-01 13:18:03 UTC,,,
0FPV95FJGC4Q0S10BK877QPZD7,526,2896360,2024-10-01 13:19:03 UTC,,,
0FPV961WFZFHJMJ0NSMAAQY7CK,530,2896360,2024-10-01 13:20:03 UTC,,,
0FPV96M6D7B13QMCNSYWKJPGSG,528,2896360,2024-10-01 13:21:03 UTC,,,
0FPV976GDD4FHA5PFZNB1RPV0P,531,2896360,2024-10-01 13:22:03 UTC,,,
0FPV97RTG808AVZFVCTE6MX4D9,535,2896360,2024-10-01 13:23:03 UTC,,,
0FPV98B4DTA26N103ZA4S8AQ70,525,2896360,2024-10-01 13:24:03 UTC,,,
0FPV98XEF7C305PMT7T5N3JV4C,528,2896360,2024-10-01 13:25:03 UTC,,,
0FPV99FRBZ1G26Y5YVYDCJZ6DD,528,2896360,2024-10-01 13:26:03 UTC,,,
0FPV9A22DCMDVE681VYRTEKY9N,535,2896360,2024-10-01 13:27:03 UTC,,,
0FPV9AMCD37GSWN34KKGM1KQCQ,525,2896360,2024-10-01 13:28:03 UTC,,,
0FPV9B6PCVJRZM256XVWC7ZYA1,530,2896360,2024-10-01 13:29:03 UTC,,,
0FPV9BS0GQPPBHVHE8847456PE,523,2896360,2024-10-01 13:30:03 UTC,,,
0FPV9CBACCT7MK88JFJNMYFE7Y,531,2896360,2024-10-01 13:31:03 UTC,,,
0FPV9CXMC5YBXYY631VJQ1P43M,539,2896360,2024-10-01 13:32:03 UTC,,,
0FPV9DFYC4T613NQF1AT7VG0EX,538,2896360,2024-10-01 13:33:03 UTC,,,
0FPV9E28D9TG2Z80NCMY1KGNBC,511,2896360,2024-10-01 13:34:03 UTC,,,
0FPV9EMJDSQ62PR0YRJ8KV119W,528,2896360,2024-10-01 13:35:03 UTC,,,
0FPV9F6WBBN0FAVYXS13HBY6AC,531,2896360,2024-10-01 13:36:03 UTC,,,
0FPV9FS6C12G3FXYD5F10RJA4X,530,2896360,2024-10-01 13:37:03 UTC,,,
0FPV9GBGB34EA2YWXSWKX4CJEZ,531,2896360,2024-10-01 13:38:03 UTC,,,
0FPV9GXTBY0GM8V1FZG4DEDY0M,511,2896360,2024-10-01 13:39:03 UTC,,,
0FPV9HG4F0P1FFJ6MBWDQ9ND68,529,2896360,2024-10-01 13:40:03 UTC,,,
0FPV9J2EBVGCTA552DGQ4JY8PG,533,2896360,2024-10-01 13:41:03 UTC,,,
0FPV9JMRBD3VZM0EWEDPGCP2TV,527,2896360,2024-10-01 13:42:03 UTC,,,
0FPV9K72CA6QFS7QRG3CH8G3AV,534,2896360,2024-10-01 13:43:03 UTC,,,
0FPV9KSCBAB0GFFMC320EQXJJH,539,2896360,2024-10-01 13:44:03 UTC,,,
0FPV9MBPREETKH3VKZHZD33PCC,541,2896360,2024-10-01 13:45:03 UTC,,,
0FPV9MY0AQYZNH7XTC63EWC99R,540,2896360,2024-10-01 13:46:03 UTC,,,
0FPV9NGAA3C65D9SG6QFSG330W,511,2896360,2024-10-01 13:47:03 UTC,,,
0FPV9P2M93YT2GVQXR59X9ZSQJ,531,2896360,2024-10-01 13:48:03 UTC,,,
0FPV9PMY9MB6BHGFRT1WTYMTGR,535,2896360,2024-10-01 13:49:03 UTC,,,
0FPV9Q78F4TV140X9D57NX7SMG,525,2896360,2024-10-01 13:50:03 UTC,,,
0FPV9QSJ9Y0M3S6E2WJC8TVK3J,531,2896360,2024-10-01 13:51:03 UTC,,,
0FPV9RBW7FW4ER2GB12FZTWA0Y,528,2896360,2024-10-01 13:52:03 UTC,,,
0FPV9RY663N4BKKWC3VS5ZZZDP,531,2896360,2024-10-01 13:53:03 UTC,,,
0FPV9SGG83VTJ5YM2B2HKT059Y,530,2896360,2024-10-01 13:54:03 UTC,,,
0FPV9T2T7CTXYNXWP4610VWZWY,531,2896360,2024-10-01 13:55:03 UTC,,,
0FPV9TN4797B9JCX93WFQHN7ZJ,533,2896360,2024-10-01 13:56:03 UTC,,,
0FPV9V7E7DHFXWHEV4E7RXRDPD,530,2896360,2024-10-01 13:57:03 UTC,,,
0FPV9VSR825FJPXYB76JH0K3MT,535,2896360,2024-10-01 13:58:03 UTC,,,
0FPV9WC27TW0CVJDHBQV30MQ3N,542,2896360,2024-10-01 13:59:03 UTC,,,
0FPV9WYC99H0SNXQYXS7X0XEFH,530,2896360,2024-10-01 14:00:03 UTC,,,
0FPV9XGP78E3FJ6V4QR2K8N1Y4,549,2896360,2024-10-01 14:01:03 UTC,,,
0FPV9Y306VT426H1X9JW2MJVSF,531,2896360,2024-10-01 14:02:03 UTC,,,
0FPV9YNA8TB3QHTA7H63MDQRRK,533,2896360,2024-10-01 14:03:03 UTC,,,
0FPV9Z7M870AWNZSA406FPPQ8X,543,2896360,2024-10-01 14:04:03 UTC,,,
0FPV9ZSY7W71N1T4G14J0JHMWD,539,2896360,2024-10-01 14:05:03 UTC,,,
0FPVA0C85R08S86HNRGE801B72,528,2896360,2024-10-01 14:06:03 UTC,,,
0FPVA0YJ58JG6QY51ZAKDBH04F,511,2896360,2024-10-01 14:07:03 UTC,,,
0FPVA1GXMPEQ1S4X3P56GKZQK8,531,2896360,2024-10-01 14:08:03 UTC,,,
0FPVA23642Q6BSNE9FG6GY8VZY,535,2896360,2024-10-01 14:09:03 UTC,,,
0FPVA2NGB4WRJAJQP3896Y6KJ2,530,2896360,2024-10-01 14:10:03 UTC,,,
0FPVA37T3JW2T1WZ0NST3NKMVG,531,2896360,2024-10-01 14:11:03 UTC,,,
0FPVA3T43Q2W6A0P8PJS12NF3G,544,2896360,2024-10-01 14:12:03 UTC,,,
0FPVA4CE2VEGETC1J2ZY78GH9R,545,2896360,2024-10-01 14:13:03 UTC,,,
0FPVA4YR2MZJ2YTSYRSSM46FT5,547,2896360,2024-10-01 14:14:03 UTC,,,
0FPVA5H24R58JYNCGB3J4TFRSB,536,2896360,2024-10-01 14:15:03 UTC,,,
0FPVA63C2HKG4GXVC2V6TB3NHJ,532,2896360,2024-10-01 14:16:03 UTC,,,
0FPVA6NP2HP6YC0KVC2E0RJZY5,532,2896360,2024-10-01 14:17:03 UTC,,,
0FPVA7802QAQBKAQ77VDZHJF7G,541,2896360,2024-10-01 14:18:03 UTC,,,
0FPVA7TA2GNR3NA0TH61SB6GEW,535,2896360,2024-10-01 14:19:03 UTC,,,
0FPVA8CM654SMHVGAMNNZEG622,539,2896360,2024-10-01 14:20:03 UTC,,,
0FPVA8YY3GWPA788PFFPVY1EZJ,539,2896360,2024-10-01 14:21:03 UTC,,,
0FPVA9H82R5Y7FYHZBMFYD39KW,551,2896360,2024-10-01 14:22:03 UTC,,,
0FPVAA3J2EP02KDBJGM8HGQY7W,542,2896360,2024-10-01 14:23:03 UTC,,,
0FPVAANW2H7WZ06P3A0QMCEZ0W,543,2896360,2024-10-01 14:24:03 UTC,,,
